numeris.RD_1944_SP00_067 SIP:1483 , Revision:1483 , Unique:4 , Duplicate:1479
numeris.RD_1978_FA00_022 SIP:2047 , Revision:681 , Unique:681 , Duplicate:0
numeris.RD_1978_FA00_034 SIP:1873 , Revision:627 , Unique:627 , Duplicate:0
numeris.RD_1981_SP00_018 SIP:1195 , Revision:399 , Unique:399 , Duplicate:0
numeris.RD_1981_SP00_022 SIP:1459 , Revision:487 , Unique:487 , Duplicate:0
numeris.RD_1988_FA00_002 SIP:1417 , Revision:473 , Unique:473 , Duplicate:0
numeris.TV_1971_FA00_109 SIP:901 , Revision:301 , Unique:301 , Duplicate:0
numeris.TV_1978_SP00_109 SIP:565 , Revision:189 , Unique:189 , Duplicate:0
numeris.TV_1982_FA00_109 SIP:553 , Revision:185 , Unique:185 , Duplicate:0
numeris.TV_1994_FA00_130 SIP:955 , Revision:319 , Unique:319 , Duplicate:0
numeris.TV_1994_SP00_125 SIP:385 , Revision:129 , Unique:129 , Duplicate:0
numeris.TV_1996_SP00_020 SIP:1765 , Revision:589 , Unique:589 , Duplicate:0
numeris.TV_1997_SP01_048 SIP:1267 , Revision:423 , Unique:423 , Duplicate:0
numeris.TV_1999_SP00_110 SIP:787 , Revision:261 , Unique:261 , Duplicate:0
numeris.TV_2001_FA00_125 SIP:601 , Revision:201 , Unique:201 , Duplicate:0
numeris.TV_2002_SP00_125 SIP:571 , Revision:191 , Unique:191 , Duplicate:0
numeris.TV_2003_FA00_125 SIP:607 , Revision:203 , Unique:203 , Duplicate:0
numeris.TV_2006_FA00_125 SIP:583 , Revision:195 , Unique:195 , Duplicate:0
numeris.TV_2007_FA00_125 SIP:574 , Revision:191 , Unique:191 , Duplicate:0
numeris.TV_2009_FA00_125 SIP:583 , Revision:195 , Unique:195 , Duplicate:0
omcn.MississaugaTimes_14 SIP:1251 , Revision:1251 , Unique:1251 , Duplicate:0
omcn.MississaugaTimes_15 SIP:1341 , Revision:1341 , Unique:1341 , Duplicate:0
omcn.MississaugaTimes_17 SIP:1350 , Revision:1350 , Unique:1350 , Duplicate:0
omcn.MississaugaTimes_18 SIP:1075 , Revision:1075 , Unique:1075 , Duplicate:0
omcn.MississaugaTimes_2 SIP:1117 , Revision:1117 , Unique:1117 , Duplicate:0
omcn.MississaugaTimes_20 SIP:1000 , Revision:1000 , Unique:1000 , Duplicate:0
omcn.MississaugaTimes_21 SIP:979 , Revision:979 , Unique:979 , Duplicate:0
omcn.MississaugaTimes_22 SIP:936 , Revision:936 , Unique:936 , Duplicate:0
omcn.MississaugaTimes_24 SIP:1010 , Revision:1010 , Unique:1010 , Duplicate:0
omcn.MississaugaTimes_8 SIP:418 , Revision:418 , Unique:418 , Duplicate:0
omcn.MississaugaTimes_9 SIP:1209 , Revision:1209 , Unique:1209 , Duplicate:0
oocihm.00011 SIP:119 , Revision:119 , Unique:0 , Duplicate:119
oocihm.00026 SIP:232 , Revision:232 , Unique:0 , Duplicate:232
oocihm.00130 SIP:180 , Revision:180 , Unique:0 , Duplicate:180
oocihm.00461 SIP:95 , Revision:99 , Unique:99 , Duplicate:0
oocihm.00469 SIP:326 , Revision:339 , Unique:339 , Duplicate:0
oocihm.00470 SIP:736 , Revision:763 , Unique:763 , Duplicate:0
oocihm.00518 SIP:72 , Revision:76 , Unique:76 , Duplicate:0
oocihm.00994 SIP:94 , Revision:98 , Unique:98 , Duplicate:0
oocihm.01088 SIP:286 , Revision:276 , Unique:276 , Duplicate:0
oocihm.02247 SIP:120 , Revision:120 , Unique:0 , Duplicate:120
oocihm.02817 SIP:22 , Revision:22 , Unique:0 , Duplicate:22
oocihm.02821 SIP:24 , Revision:28 , Unique:28 , Duplicate:0
oocihm.03062 SIP:32 , Revision:36 , Unique:36 , Duplicate:0
oocihm.03220 SIP:102 , Revision:109 , Unique:109 , Duplicate:0
oocihm.03628 SIP:107 , Revision:107 , Unique:0 , Duplicate:107
oocihm.03744 SIP:21 , Revision:21 , Unique:1 , Duplicate:20
oocihm.03752 SIP:323 , Revision:323 , Unique:322 , Duplicate:1
oocihm.04492 SIP:47 , Revision:51 , Unique:51 , Duplicate:0
oocihm.04613 SIP:74 , Revision:78 , Unique:78 , Duplicate:0
oocihm.04679 SIP:34 , Revision:34 , Unique:0 , Duplicate:34
